auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
4915991;70;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 19:34:50
4918177;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 22:00:05
4918398;66;78;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 23:09:30
4918800;69;78;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 23:18:33
4923321;64;78;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-27 23:37:45
4929807;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-28 06:07:25
4932461;68;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-28 10:19:00
4932483;255;255;72;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-11-26 08:46:34
4935666;255;255;62;74;heat;on;1;0;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-27 15:46:04
4936492;69;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-28 12:14:53
4938815;67;74;62;74;heat;on;1;1;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-28 14:54:51
4940249;70;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-28 15:30:14
4951389;255;255;62;74;heat;on;1;0;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-28 16:54:52
4954057;67;73;62;74;heat;on;1;1;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-29 03:14:02
4958244;255;255;61;76;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-27 15:51:15
4968169;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-28 17:37:23
4968170;68;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-29 16:36:00
4970583;67;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-29 16:36:02
4977026;69;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-29 18:03:13
4981229;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-29 09:39:03
4986966;255;255;67;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-27 13:13:15
4988272;255;255;74;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-11-28 12:15:53
4992537;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-29 22:04:36
4994655;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-26 23:36:36
4994659;68;83;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-30 13:55:12
4996220;68;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-30 12:25:56
4997255;69;83;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-30 13:55:20
4999880;69;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-30 15:08:23
5000985;255;255;66;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-30 08:48:00
5007118;255;255;77;73;off;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-26 07:15:04
5007119;255;255;77;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-30 21:07:45
5016304;255;255;77;70;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-11-30 21:07:49
5018987;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-30 01:29:07
5019701;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 08:22:00
5021685;255;255;70;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-11-30 09:36:19
5022612;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-11-30 15:56:05
5024462;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 08:51:55
5024917;60;83;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-12-01 11:12:06
5025587;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 13:13:55
5026259;69;83;68;78;heat;on;1;1;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-12-01 13:45:21
5028785;255;255;61;76;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 14:29:30
5034131;255;255;61;77;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 16:37:11
5035500;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-01 19:15:15
5038369;255;255;77;70;off;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-12-01 06:42:22
5038370;255;255;67;70;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-12-01 21:22:42
5038632;255;255;68;70;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-12-01 21:22:49
